Event_id,Rating,People,Review,Name,Price
175,3.1,66,Fair,"OYO 48159 Bogmalo Heights Holiday  DeluxeNear Queeny Estate, Bogmalo, Goa


Hurry. Only 1 room left",₹1981
176,3.1,54,Fair,"OYO 65852 Blue Ocean PearlKadar Supermarket, Benaulim, Goa


Hurry. Only 1 room left",₹1014
177,3.1,41,Fair,"OYO 7509 O Classio Baga Beach ResortNear Baga Beach, Baga, Goa








9 people booked this hotel today",₹1723
178,3.1,25,Fair,"OYO 23683 Luxurious 2BHK Goa VelhaQueen of Angel Chapel Road, Maina, Goa",₹1237
179,3.1,23,Fair,"OYO Home 63408 Peaceful Studios CalangutePorba Vaddo, Calangute, Goa


Hurry. Only 1 room left",₹2130
180,3.1,8,Fair,"SPOT ON 60207 7 Sea View Inn SPOTNear Arambol Beach Temple, Goa",₹952
181,3.0,50,Fair,"SPOT ON 61339 Swami Samarth Guest House SPOTNear Arambol Beach, Goa








7 people booked this hotel in last 6 hours",₹598
182,3.0,41,Fair,"OYO 19005 Beach View StudioAnjuna, Monteiro Vaddo, Goa


Hurry. Only 1 room left",₹1933
183,3.0,17,Fair,"OYO 9623 Beautiful 5BHKCurtorim, South Goa, Goa",₹762
184,3.0,1,Fair,"SPOT ON 64899 Morjim La Casa SPOTNear Morjim, Goa",₹1357
